gene	siADNP1	siADNP2	siADNP3	SCR1	SCR2	SCR3
1/2-SBSRNA4	6	2	1	2	4	1
A1BG	1	2	0	0	1	2
A1BG-AS1	0	1	0	0	0	0
A1CF	3	4	1	9	6	10
A2LD1	36	27	27	24	37	27
A2M	0	0	0	0	0	0
A2ML1	1	0	3	0	0	0
A2MP1	0	0	0	0	0	0
A4GALT	71	87	54	76	84	66
A4GNT	0	0	0	0	0	1
AA06	0	0	0	2	0	0
AAA1	1	0	0	0	0	0
AAAS	307	333	271	311	362	289
AACS	152	176	145	167	152	139
AACSP1	18	26	12	15	12	15
AADAC	22	39	19	46	57	31
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	2	0	0
AADAT	261	317	227	291	311	268
AAGAB	809	902	808	1108	1220	1048
AAK1	454	480	296	371	367	296
AAMP	709	710	701	764	866	713
AANAT	0	0	0	0	0	0
AARS	2212	2580	2313	2406	2867	2308
AARS2	365	355	279	371	384	287
AARSD1	314	351	291	424	529	388
AASDH	179	215	165	259	301	208
AASDHPPT	1076	1247	1016	1364	1519	1254
AASS	171	187	146	152	189	135
AATF	1315	1346	1215	1524	1784	1264
AATK	6	10	9	14	8	8
AATK-AS1	0	0	0	0	0	0
ABAT	104	132	110	81	110	96
ABCA1	6	14	13	7	12	12
ABCA10	1	3	3	2	2	4
ABCA11P	155	204	134	207	262	183
ABCA12	18	22	20	31	39	37
ABCA13	0	0	0	1	0	0
ABCA17P	1	0	0	0	0	0
ABCA2	703	819	636	626	736	545
ABCA3	57	83	50	55	68	51
ABCA4	4	3	2	9	4	3
ABCA5	164	217	171	217	294	209
ABCA6	2	1	3	4	2	1
ABCA7	571	588	423	534	682	532
ABCA8	0	0	0	0	0	0
ABCA9	2	0	0	1	0	1
ABCB1	60	71	66	70	118	75
ABCB10	223	241	222	251	303	264
ABCB11	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0
ABCB5	2	1	0	0	0	1
ABCB6	140	136	95	101	149	103
ABCB7	325	373	307	409	436	354
ABCB8	145	226	136	176	223	196
ABCB9	47	60	53	52	65	52
ABCC1	1083	1337	972	1148	1309	1138
ABCC10	214	233	194	231	202	172
ABCC11	2	3	2	3	5	3
ABCC12	1	0	1	0	0	0
ABCC13	0	0	0	0	0	0
ABCC2	1433	1691	1288	1617	1751	1568
ABCC3	75	109	64	82	107	78
ABCC4	864	1045	863	713	789	741
ABCC5	328	358	282	349	371	326
ABCC6	14	15	12	9	11	8
ABCC6P1	0	0	0	3	0	0
ABCC6P2	0	1	1	1	0	0
ABCC8	1	1	0	0	0	0
ABCC9	0	0	0	0	1	1
ABCD1	25	25	24	28	19	29
ABCD2	2	0	2	1	3	1
ABCD3	1036	1225	1133	1420	1757	1340
ABCD4	169	192	174	207	207	149
ABCE1	2895	3413	2812	3717	4289	3630
ABCF1	1167	1340	1213	1361	1437	1127
ABCF2	1375	1587	1205	1437	1619	1288
ABCF3	510	507	450	527	616	533
ABCG1	8	12	7	5	14	6
ABCG2	22	70	50	51	66	64
ABCG4	37	46	42	39	34	31
ABCG5	0	0	1	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0
ABHD10	3743	4444	3770	3707	4724	3542
ABHD11	202	237	233	202	264	208
ABHD11-AS1	2	1	0	3	1	4
ABHD12	155	181	143	152	208	163
ABHD12B	0	0	0	0	0	0
ABHD13	302	316	278	414	450	361
ABHD14A	26	32	24	18	24	23
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	355	399	348	295	351	303
ABHD15	74	96	68	86	91	74
ABHD16A	125	119	127	165	193	157
ABHD16B	0	0	0	0	0	0
ABHD2	554	722	548	741	845	671
ABHD3	197	205	180	207	220	193
ABHD4	73	100	80	91	112	84
ABHD5	294	355	293	470	486	428
ABHD6	89	93	85	56	67	90
ABHD8	9	21	18	18	20	17
ABI1	831	845	715	1016	1249	910
ABI2	354	474	386	412	410	400
ABI3	0	1	0	1	1	0
ABI3BP	1	3	1	1	1	3
ABL1	768	880	718	1070	1094	928
ABL2	663	779	486	775	830	763
ABLIM1	2770	3014	2642	2621	2779	2433
ABLIM2	24	32	23	29	35	26
ABLIM3	157	160	128	195	173	145
ABO	31	38	20	31	26	15
ABP1	1	2	0	1	0	0
ABR	645	730	590	601	676	518
ABRA	0	0	0	0	0	0
ABT1	216	286	246	274	305	284
ABTB1	22	15	25	26	39	32
ABTB2	127	137	93	119	141	116
ACAA1	193	229	213	235	273	217
ACAA2	94	95	87	86	111	83
ACACA	3196	3702	2695	3372	3716	3321
ACACB	108	136	111	115	114	104
ACAD10	123	166	127	148	165	130
ACAD11	44	44	47	47	49	40
ACAD8	93	79	71	81	81	80
ACAD9	344	381	302	396	457	413
ACADL	0	0	0	0	0	0
ACADM	275	289	278	403	492	401
ACADS	70	70	66	86	96	72
ACADSB	444	479	377	504	613	448
ACADVL	780	943	810	874	1068	862
ACAN	0	0	0	0	1	0
ACAP1	7	6	5	6	4	3
ACAP2	660	853	646	826	1026	769
ACAP3	79	95	89	116	132	129
ACAT1	876	890	878	1100	1280	935
ACAT2	527	587	544	550	572	489
ACBD3	756	1033	822	868	967	809
ACBD4	9	16	11	24	17	15
ACBD5	311	338	316	410	456	374
ACBD6	192	238	198	176	231	158
ACBD7	28	32	39	27	28	17
ACCN1	0	0	0	0	0	0
ACCN2	202	239	222	161	158	134
ACCN3	0	5	10	5	6	8
ACCN4	1	2	6	5	3	3
ACCN5	0	0	0	0	0	1
ACCS	29	27	29	18	29	24
ACCSL	1	1	0	0	0	0
ACD	282	323	300	305	386	269
ACE	20	36	19	24	22	12
ACE2	0	0	1	0	0	0
ACER1	0	0	0	0	0	0
ACER2	48	70	54	70	82	73
ACER3	340	330	297	362	434	337
ACHE	14	17	5	6	13	16
ACIN1	1956	2114	1774	2598	2681	2180
ACLY	4498	5064	4513	4648	5152	4053
ACMSD	0	0	0	0	1	0
ACN9	101	119	90	131	146	128
ACO1	531	578	478	565	672	586
ACO2	750	859	822	875	1014	912
ACOT1	0	0	0	0	0	0
ACOT11	175	154	157	165	194	172
ACOT12	0	0	0	0	0	0
ACOT13	649	647	614	761	966	638
ACOT2	0	0	0	0	0	0
ACOT4	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0
ACOT7	660	690	652	685	840	729
ACOT8	56	69	71	77	102	101
ACOT9	272	339	290	350	426	307
ACOX1	934	1122	987	1214	1449	1254
ACOX2	68	72	59	88	97	88
ACOX3	94	87	90	107	93	89
ACOXL	18	26	21	24	32	30
ACP1	1132	1201	1169	1210	1456	1187
ACP2	162	181	144	181	173	152
ACP5	0	0	0	0	0	0
ACP6	81	91	71	95	106	75
ACPL2	140	192	157	94	124	101
ACPP	2	5	2	0	2	3
ACPT	0	0	0	0	2	0
ACR	1	0	0	1	1	0
ACRBP	3	3	1	3	6	6
ACRC	23	21	31	22	25	24
ACRV1	0	1	0	2	0	0
ACSBG1	1	1	1	0	0	0
ACSBG2	5	6	1	3	13	1
ACSF2	153	137	100	108	121	75
ACSF3	226	248	202	305	293	274
ACSL1	243	335	236	282	301	247
ACSL3	2101	2589	1955	2238	2645	2094
ACSL4	1486	1719	1373	1558	1852	1502
ACSL5	2468	2914	2468	3301	3729	3060
ACSL6	10	4	17	10	16	5
ACSM1	1	0	1	2	0	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	2	1	1	1
ACSM3	63	78	60	101	97	72
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSS1	0	0	0	1	0	0
ACSS2	246	299	250	228	269	235
ACSS3	0	0	0	1	1	0
ACTA1	3	4	3	5	2	4
ACTA2	28	38	26	82	61	72
ACTB	13156	14173	12217	15322	17431	13722
ACTBL2	1	0	0	0	0	0
ACTC1	0	1	1	0	1	1
ACTG1	50045	56417	49438	60139	71758	53338
ACTG2	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0
ACTL6A	533	598	516	649	758	565
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0
ACTL8	3	8	9	4	2	1
ACTL9	0	0	0	0	0	0
ACTN1	3004	3225	2706	2569	3019	2288
ACTN2	1	1	2	1	2	0
ACTN3	0	0	0	0	0	0
ACTN4	5022	5778	5094	6312	7263	5821
ACTR10	201	188	155	230	263	251
ACTR1A	1246	1417	1279	1523	1770	1481
ACTR1B	73	95	79	114	147	125
ACTR2	2593	2886	2451	3288	3693	3015
ACTR3	2272	2512	2211	2948	3267	2772
ACTR3B	87	113	114	142	152	129
ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3C	7	8	4	6	4	4
ACTR5	273	298	257	267	318	244
ACTR6	242	284	221	283	271	250
ACTR8	414	478	408	465	540	402
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACVR1	137	161	133	143	166	113
ACVR1B	303	338	252	335	345	289
ACVR1C	46	58	36	29	24	31
ACVR2A	186	266	210	199	215	171
ACVR2B	361	418	310	347	434	385
ACVRL1	0	3	4	4	0	0
ACY1	20	11	8	14	17	14
ACY3	0	2	3	1	3	0
ACYP1	87	110	71	71	86	71
ACYP2	16	18	19	21	33	24
ADA	199	244	189	249	313	239
ADAD1	0	0	0	4	1	0
ADAD2	0	0	0	0	0	0
ADAL	69	76	43	83	93	69
ADAM1	28	24	24	25	40	24
ADAM10	1732	1849	1506	1717	2073	1625
ADAM11	52	54	51	40	31	42
ADAM12	0	0	0	0	0	0
ADAM15	588	716	570	540	637	510
ADAM17	587	702	560	712	821	628
ADAM18	0	0	0	0	0	0
ADAM19	1147	1283	1011	942	1086	962
ADAM2	0	0	0	0	1	0
ADAM20	0	1	0	0	1	3
ADAM21	22	26	21	39	51	30
ADAM21P1	1	2	0	4	4	4
ADAM22	223	274	219	185	238	223
ADAM23	0	3	2	1	2	0
ADAM28	0	0	0	0	0	0
ADAM29	0	0	0	0	1	0
ADAM30	1	0	1	1	0	2
ADAM32	22	25	14	14	10	9
ADAM33	0	0	0	0	0	0
ADAM3A	0	0	0	1	1	0
ADAM5P	1	0	0	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	10	3	8	4	10	5
ADAM9	2569	3047	2563	3085	3647	2841
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	0	0	0	0	0	0
ADAMTS10	13	30	18	23	28	27
ADAMTS12	0	0	0	0	0	0
ADAMTS13	19	23	18	30	29	29
ADAMTS14	96	123	94	93	131	98
ADAMTS15	18	22	10	10	5	4
ADAMTS16	17	11	14	23	19	23
ADAMTS17	38	42	36	47	41	39
ADAMTS18	0	0	0	1	3	0
ADAMTS19	0	0	0	0	1	0
ADAMTS2	17	21	12	16	14	11
ADAMTS20	0	1	0	0	3	0
ADAMTS3	0	1	0	1	1	0
ADAMTS4	0	0	0	2	0	1
ADAMTS5	0	0	0	0	1	0
ADAMTS6	27	16	13	25	42	39
ADAMTS7	79	72	63	58	92	65
ADAMTS8	0	0	0	0	0	0
ADAMTS9	1	0	3	1	1	0
ADAMTS9-AS2	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0
ADAMTSL2	0	1	1	0	0	0
ADAMTSL3	0	1	0	1	1	0
ADAMTSL4	13	12	14	5	7	7
ADAMTSL5	92	89	74	67	111	70
ADAP1	68	89	86	73	77	109
ADAP2	216	274	203	246	282	214
ADAR	4219	4933	4083	4785	5264	4286
ADARB1	162	171	117	174	181	127
ADARB2	0	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0
ADAT1	124	147	148	171	184	125
ADAT2	190	214	183	237	302	264
ADAT3	50	36	38	39	46	36
ADC	30	20	26	17	26	26
ADCK1	53	62	34	70	65	77
ADCK2	91	101	96	65	115	104
ADCK3	157	170	164	170	207	161
ADCK4	59	84	60	68	89	74
ADCK5	118	133	99	128	152	120
ADCY1	0	1	0	0	0	0
ADCY10	0	2	3	3	7	0
ADCY2	0	0	0	0	0	0
ADCY3	407	441	330	415	426	344
ADCY4	0	3	0	1	0	1
ADCY5	3	1	3	0	2	0
ADCY6	154	173	120	169	165	165
ADCY7	202	216	157	170	179	152
ADCY8	1	0	1	0	0	0
ADCY9	159	163	140	149	176	154
ADCYAP1	0	1	0	0	0	0
ADCYAP1R1	2	2	2	0	1	1
ADD1	1084	1270	1079	1426	1618	1348
ADD2	0	0	0	0	1	1
ADD3	465	588	493	437	484	402
ADGB	0	0	0	1	0	0
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	0	0	0	1	0	0
ADH5	1347	1462	1284	1579	1674	1314
ADH6	0	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	3	6	7	5	5	4
ADI1	131	163	121	140	134	121
ADIG	0	0	0	1	0	0
ADIPOQ	0	0	0	1	0	1
ADIPOR1	1458	1588	1401	1615	1784	1342
ADIPOR2	716	814	682	741	811	692
ADK	561	698	599	788	857	728
ADM	70	75	81	74	86	89
ADM2	35	41	52	29	48	30
ADNP	364	488	441	1524	1576	1384
ADNP2	836	1038	776	924	961	843
ADO	295	396	341	416	471	408
ADORA1	44	60	33	32	36	26
ADORA2A	31	40	32	35	27	26
ADORA2B	183	257	240	307	335	323
ADORA3	0	0	0	0	1	0
ADPGK	355	427	364	346	395	336
ADPRH	14	33	33	31	37	32
ADPRHL1	54	61	60	87	89	51
ADPRHL2	160	179	153	175	240	179
ADRA1A	2	1	0	0	0	0
ADRA1B	0	0	1	0	2	0
ADRA1D	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0
ADRA2B	1	5	4	4	0	0
ADRA2C	217	220	206	203	217	175
ADRB1	21	22	17	24	23	20
ADRB2	6	2	6	6	3	5
ADRB3	0	0	0	0	0	0
ADRBK1	452	583	502	535	585	525
ADRBK2	385	494	397	405	426	329
ADRM1	903	984	829	992	1257	984
ADSL	699	810	735	928	963	752
ADSS	1066	1179	970	1324	1563	1205
ADSSL1	18	27	25	19	15	13
ADTRP	1	1	5	3	1	2
AEBP1	0	0	0	1	1	2
AEBP2	395	485	361	433	501	395
AEN	646	654	580	955	964	830
AES	862	1015	862	954	1143	894
AFAP1	370	431	378	435	514	387
AFAP1-AS1	0	2	2	1	0	0
AFAP1L1	76	89	76	54	48	51
AFAP1L2	8	10	13	1	2	0
AFF1	1007	1128	896	889	1148	908
AFF2	0	0	0	0	0	0
AFF3	0	0	1	1	2	1
AFF4	960	1163	825	1025	1216	1057
AFG3L1P	593	566	511	661	752	578
AFG3L2	887	1044	916	997	1212	990
AFM	1	0	0	0	0	0
AFMID	337	372	303	342	456	294
AFP	0	0	0	0	0	0
AFTPH	366	394	340	507	579	476
AGA	24	33	20	41	40	26
AGAP1	739	864	683	783	874	695
AGAP11	22	22	15	19	26	16
AGAP2	189	221	198	179	226	171
AGAP3	298	338	286	315	331	282
AGAP4	5	6	9	7	5	8
AGAP5	25	36	24	32	35	41
AGAP6	105	157	109	160	170	131
AGAP7	16	21	11	11	14	11
AGAP8	2	0	0	4	1	2
AGAP9	0	1	1	1	2	1
AGBL1	0	0	0	0	0	0
AGBL2	0	1	0	1	0	0
AGBL3	11	16	10	10	17	13
AGBL4	0	0	0	0	0	2
AGBL5	376	432	365	324	410	337
AGER	32	23	14	28	37	17
AGFG1	763	863	677	854	950	848
AGFG2	83	74	60	70	105	88
AGGF1	524	584	497	677	805	647
AGK	467	479	409	506	589	421
AGL	1127	1364	1025	1354	1560	1345
AGMAT	1	0	1	1	5	0
AGMO	0	0	0	0	0	0
AGPAT1	254	282	261	268	297	282
AGPAT2	177	202	142	179	198	208
AGPAT3	492	582	387	588	644	564
AGPAT4	93	114	94	141	159	104
AGPAT4-IT1	14	7	5	3	11	4
AGPAT5	927	1111	875	1538	1787	1466
AGPAT6	576	659	575	736	808	656
AGPAT9	225	320	259	485	512	447
AGPHD1	36	43	38	51	61	51
AGPS	819	1075	857	1038	1274	1119
AGR2	0	0	0	0	0	0
AGR3	0	0	1	0	0	0
AGRN	431	504	408	466	540	441
AGRP	0	1	0	0	0	0
AGSK1	0	0	0	0	0	0
AGT	1	0	0	0	0	0
AGTPBP1	293	382	317	373	502	392
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	135	218	177	149	175	185
AGXT	0	0	0	0	0	0
AGXT2	0	1	0	0	0	0
AGXT2L1	0	0	0	0	0	0
AGXT2L2	104	115	96	86	134	103
AHCTF1	2174	2475	1834	2693	3047	2460
AHCY	2149	2315	2140	2439	2813	2209
AHCYL1	872	1131	916	1193	1403	1088
AHCYL2	348	424	367	396	413	336
AHDC1	232	264	212	257	292	235
AHI1	381	482	360	597	698	588
AHNAK	6387	7884	5417	8573	9245	8198
AHNAK2	380	437	366	505	612	516
AHR	645	775	624	942	1096	849
AHRR	46	42	34	31	40	33
AHSA1	1796	1872	1560	1946	2055	1754
AHSA2	148	176	148	173	178	151
AHSG	3	3	1	3	1	1
AHSP	0	0	0	0	0	0
AICDA	0	0	0	0	0	0
AIDA	355	379	338	385	491	369
AIF1	0	3	3	1	5	2
AIF1L	319	373	321	334	347	332
AIFM1	436	460	396	528	618	468
AIFM2	188	194	164	215	215	193
AIFM3	11	14	7	18	19	19
AIG1	201	248	221	204	200	174
AIM1	265	349	207	250	318	276
AIM1L	46	51	52	69	72	48
AIM2	0	0	0	0	1	0
AIMP1	735	710	699	948	1041	830
AIMP2	199	222	179	270	314	220
AIP	255	257	213	238	283	211
AIPL1	0	0	0	0	0	0
AIRE	0	0	1	0	0	0
AJAP1	0	0	0	0	0	0
AJUBA	216	278	220	221	267	229
AK1	216	213	232	246	295	255
AK2	1953	2134	1776	2480	2689	2332
AK3	433	596	436	658	772	685
AK4	402	439	326	376	464	365
AK5	1	0	1	0	2	0
AK7	48	59	29	56	75	48
AK8	18	15	3	9	14	17
AKAP1	1070	1204	976	1296	1402	1120
AKAP10	263	329	287	289	395	310
AKAP11	1231	1486	987	1358	1731	1364
AKAP12	26578	29797	24823	25442	29021	23612
AKAP13	1180	1337	971	1360	1400	1280
AKAP14	0	0	0	0	0	0
AKAP17A	0	0	0	0	0	0
AKAP2	50	62	48	39	58	43
AKAP3	34	37	49	75	60	71
AKAP4	0	0	0	0	0	0
AKAP5	13	13	7	8	7	7
AKAP6	60	51	71	112	134	108
AKAP7	17	22	33	31	30	36
AKAP8	438	502	429	438	425	416
AKAP8L	899	972	825	1040	1146	912
AKAP9	914	1075	737	1095	1353	1153
AKD1	16	22	24	46	44	36
AKIP1	143	144	96	147	144	121
AKIRIN1	588	734	630	776	812	731
AKIRIN2	192	185	180	231	260	210
AKIRIN2-AS1	0	0	0	0	0	0
AKNA	195	205	205	219	280	193
AKNAD1	3	2	1	2	4	3
AKR1A1	579	576	549	594	772	560
AKR1B1	235	234	196	193	212	191
AKR1B10	4	7	3	5	9	14
AKR1B15	0	0	0	0	0	0
AKR1C1	3	1	2	1	0	3
AKR1C2	1	1	1	2	2	2
AKR1C3	6	1	8	4	7	7
AKR1C4	0	0	0	0	0	0
AKR1CL1	0	0	0	0	0	0
AKR1D1	0	0	0	0	0	0
AKR1E2	16	23	15	20	16	19
AKR7A2	282	339	284	307	404	331
AKR7A2P1	0	0	0	0	0	0
AKR7A3	4	7	4	3	4	4
AKR7L	5	7	1	1	3	5
AKT1	1354	1503	1312	1566	1707	1358
AKT1S1	388	433	378	453	519	377
AKT2	425	517	385	498	564	491
AKT3	3	12	5	9	3	5
AKTIP	136	145	127	168	176	145
ALAD	113	157	127	139	193	142
ALAS1	876	981	839	948	1079	805
ALAS2	0	0	0	0	0	0
ALB	0	1	2	1	1	2
ALCAM	1497	1781	1468	1264	1547	1201
ALDH16A1	85	87	91	94	124	95
ALDH18A1	1145	1384	1166	1278	1493	1208
ALDH1A1	0	0	0	1	1	0
ALDH1A2	1	1	0	0	0	1
ALDH1A3	660	786	727	1190	1391	1154
ALDH1B1	590	652	524	644	633	604
ALDH1L1	1	0	0	1	0	0
ALDH1L2	41	73	50	36	49	19
ALDH2	290	306	253	219	234	172
ALDH3A1	7	6	9	5	15	9
ALDH3A2	411	518	371	466	589	482
ALDH3B1	63	70	54	104	121	96
ALDH3B2	0	0	0	0	1	0
ALDH4A1	118	168	144	178	180	161
ALDH5A1	137	167	137	177	178	150
ALDH6A1	97	100	66	108	98	94
ALDH7A1	1015	1096	945	1120	1320	1068
ALDH8A1	10	13	3	8	3	8
ALDH9A1	434	484	433	349	363	282
ALDOA	8242	8412	7550	8113	9465	7406
ALDOB	0	0	1	0	0	0
ALDOC	321	329	296	214	276	208
ALG1	138	207	164	145	185	154
ALG10	67	87	73	109	120	101
ALG10B	57	90	63	124	112	80
ALG11	203	185	124	257	237	215
ALG12	229	241	184	226	253	175
ALG13	183	250	195	202	251	175
ALG14	49	48	42	65	66	59
ALG1L	0	1	0	0	0	2
ALG1L2	0	0	0	1	0	1
ALG2	106	86	99	162	184	166
ALG3	476	576	484	538	630	479
ALG5	229	228	241	307	314	249
ALG6	153	227	220	269	292	218
ALG8	363	463	366	464	536	413
ALG9	214	233	191	207	256	231
ALK	1	0	0	0	0	0
ALKBH1	224	261	175	275	310	250
ALKBH2	214	195	192	215	252	175
ALKBH3	144	171	129	179	200	169
ALKBH4	101	120	101	127	112	126
ALKBH5	503	554	497	459	524	521
ALKBH6	74	88	70	102	114	99
ALKBH7	372	314	266	239	366	266
ALKBH8	279	342	258	390	453	349
ALLC	0	0	0	0	0	0
ALMS1	960	1181	853	1036	1178	1088
ALMS1P	0	0	0	1	1	0
ALOX12	0	0	2	2	0	0
ALOX12B	9	4	3	7	11	3
ALOX12P2	138	121	100	113	137	95
ALOX15	2	4	1	2	2	3
ALOX15B	1	0	0	1	1	0
ALOX15P1	1	4	2	1	5	3
ALOX5	12	17	14	18	21	20
ALOX5AP	0	0	0	0	0	0
ALOXE3	19	21	18	21	24	18
ALPI	0	0	0	0	0	0
ALPK1	137	147	136	172	194	136
ALPK2	8	11	5	4	2	0
ALPK3	15	16	18	7	15	21
ALPL	7	16	16	3	2	2
ALPP	0	2	1	0	0	0
ALPPL2	1	1	2	0	0	0
ALS2	627	725	608	860	1055	737
ALS2CL	54	55	53	64	79	73
ALS2CR11	0	1	0	2	1	0
ALS2CR12	6	5	3	5	5	1
ALS2CR8	42	58	49	55	63	58
ALX1	1	1	0	1	0	0
ALX3	0	0	0	0	0	0
ALX4	0	0	0	0	0	0
ALYREF	1311	1456	1219	1223	1277	1062
AMACR	10	4	9	12	13	10
AMBN	1	0	1	0	0	0
AMBP	1	0	0	0	1	0
AMBRA1	263	316	260	323	385	327
AMD1	1838	2342	1850	2648	2807	2460
AMDHD1	62	71	55	72	80	49
AMDHD2	73	77	65	84	98	84
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMFR	478	553	492	569	633	590
AMH	64	80	82	94	112	102
AMHR2	0	0	1	1	1	1
AMICA1	0	0	0	0	0	0
AMIGO1	0	1	0	0	0	0
AMIGO2	28	35	20	33	26	19
AMIGO3	25	28	19	27	29	27
AMMECR1	471	554	449	770	873	670
AMMECR1L	338	339	333	331	446	352
AMN	1	0	1	0	2	2
AMN1	168	219	187	259	364	229
AMOT	151	186	134	115	158	121
AMOTL1	783	924	742	836	910	878
AMOTL2	205	217	187	280	307	246
AMPD1	0	1	0	0	0	0
AMPD2	415	486	395	455	467	384
AMPD3	363	454	328	328	400	282
AMPH	0	0	0	0	0	0
AMT	22	22	14	31	32	30
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	0	0	0	0	0
AMY2B	2	6	4	3	2	6
AMZ1	0	0	0	0	0	0
AMZ2	944	1079	918	1280	1573	1220
AMZ2P1	102	99	96	102	124	101
ANAPC1	1443	1754	1356	1874	2116	1652
ANAPC10	127	111	123	126	153	116
ANAPC11	347	402	335	461	508	400
ANAPC13	273	341	264	330	429	339
ANAPC16	775	791	734	959	1072	781
ANAPC2	238	317	248	272	330	275
ANAPC4	602	711	576	723	826	661
ANAPC5	727	924	705	855	1000	822
ANAPC7	724	830	691	872	965	825
ANG	9	17	10	8	9	7
ANGEL1	274	301	264	254	319	301
ANGEL2	293	375	293	386	443	360
ANGPT1	2	0	0	0	0	0
ANGPT2	52	31	54	159	163	141
ANGPT4	0	0	0	0	0	0
ANGPTL1	0	0	1	0	1	0
ANGPTL2	0	0	0	0	0	0
ANGPTL3	0	0	0	0	0	0
ANGPTL4	29	38	26	42	34	29
ANGPTL5	0	0	0	1	0	0
ANGPTL6	1	0	0	3	1	1
ANGPTL7	0	0	0	0	0	0
ANK1	6	7	5	1	9	6
ANK2	98	133	123	113	154	130
ANK3	185	201	178	183	253	181
ANKAR	13	7	7	8	8	10
ANKDD1A	34	49	34	30	34	30
ANKFN1	1	2	3	1	1	3
ANKFY1	1046	1145	973	1232	1331	1074
ANKH	230	271	214	212	233	222
ANKHD1	13	22	12	19	20	20
ANKHD1-EIF4EBP3	2	2	3	4	3	1
ANKIB1	795	958	813	1035	1141	1009
ANKK1	0	1	1	6	1	0
ANKLE1	152	176	145	136	145	120
ANKLE2	445	542	419	592	571	472
ANKMY1	93	112	74	85	112	95
ANKMY2	410	397	352	563	605	468
ANKRA2	45	65	60	99	117	86
ANKRD1	0	0	0	0	0	0
ANKRD10	333	335	264	329	402	326
ANKRD11	2731	3072	2597	3313	3483	2776
ANKRD12	473	627	503	604	754	637
ANKRD13A	270	339	268	354	418	326
ANKRD13B	214	203	184	204	223	198
ANKRD13C	263	333	261	362	424	341
ANKRD13D	148	136	124	152	169	145
ANKRD16	65	68	51	55	80	63
ANKRD17	3191	3643	2867	3802	4308	3662
ANKRD18A	221	241	164	274	266	219
ANKRD18B	0	0	1	0	0	0
ANKRD18DP	24	23	12	13	20	16
ANKRD19P	103	130	103	106	130	131
ANKRD2	1	1	0	0	3	1
ANKRD20A1	0	0	0	0	0	0
ANKRD20A11P	0	0	0	0	0	0
ANKRD20A2	0	0	0	0	0	0
ANKRD20A3	0	0	0	1	0	0
ANKRD20A4	1	6	4	7	8	4
ANKRD20A5P	20	14	13	19	14	16
ANKRD20A8P	2	5	1	1	0	5
ANKRD20A9P	0	2	0	0	2	0
ANKRD22	8	14	7	10	17	18
ANKRD23	11	19	15	10	16	16
ANKRD24	29	24	23	28	20	15
ANKRD26	149	144	118	167	220	159
ANKRD26P1	3	4	1	5	1	0
ANKRD26P3	1	1	0	0	0	0
ANKRD27	608	723	596	669	743	682
ANKRD28	349	498	408	403	454	387
ANKRD29	37	68	52	36	64	32
ANKRD30A	2	1	0	0	0	0
ANKRD30B	0	0	1	0	2	0
ANKRD30BL	866	1346	1006	772	1015	927
ANKRD30BP2	1	0	0	0	0	0
ANKRD31	12	35	9	12	24	14
ANKRD32	273	383	277	431	482	371
ANKRD33	0	2	1	0	0	0
ANKRD33B	218	254	226	227	255	212
ANKRD34A	14	14	17	21	20	14
ANKRD34B	0	0	0	0	0	0
ANKRD34C	0	0	1	0	0	0
ANKRD35	1	0	0	1	0	0
ANKRD36	571	590	470	608	605	586
ANKRD36B	248	291	226	296	339	250
ANKRD36BP1	1	0	1	0	0	0
ANKRD36BP2	2	1	0	0	0	0
ANKRD37	17	23	18	19	34	24
ANKRD39	103	119	113	110	131	117
ANKRD40	1036	1327	1084	1348	1491	1290
ANKRD42	54	62	48	74	54	62
ANKRD44	72	83	61	79	75	80
ANKRD45	2	2	3	3	3	0
ANKRD46	216	205	200	132	155	123
ANKRD49	90	98	89	136	140	109
ANKRD5	383	490	380	446	515	414
ANKRD50	696	839	677	712	789	754
ANKRD52	935	1084	794	1292	1405	1182
